x,y,v
Binary_Extreme_1a,Continuous_Trinary_Normal,0.0
Binary_Extreme_1a,Continuous_Quaternary_Normal,0.0
Binary_Extreme_1a,Continuous_Binary_Skewed,0.0
Binary_Extreme_1a,Continuous_Trinary_Skewed,0.0
Binary_Extreme_1a,Continuous_Quaternary_Skewed,0.0
Binary_Extreme_1a,Unary_1,0.0
Binary_Extreme_1a,Unary_2,0.002709127638625297
Binary_Extreme_1a,Correlated_1,0.19643989577961063
Binary_Extreme_1a,Correlated_2,0.19243989577961051
Binary_Extreme_1b,Binary_Extreme_2,0.011435488583754165
Binary_Extreme_1b,Trinary_Balanced_1,0.010174450279066273
Binary_Extreme_1b,Trinary_Balanced_2,0.010174450279066273
Binary_Extreme_1b,Trinary_Skewed_1a,0.32744491915447593
Binary_Extreme_1b,Trinary_Skewed_1b,0.32744491915447593
Binary_Extreme_1b,Trinary_Skewed_2,0.025810526502771828
Binary_Extreme_1b,Trinary_Extreme_1a,0.32744491915447693
Binary_Extreme_1b,Trinary_Extreme_1b,0.32744491915447693
Binary_Extreme_1b,Trinary_Extreme_2,0.011435488583754205
Binary_Extreme_1b,Quaternary_Balanced_1,0.005907028383619798
Binary_Extreme_1b,Quaternary_Balanced_2,0.005907028383619798
Binary_Extreme_1b,Quaternary_Skewed_1a,0.19764041924101564
Binary_Extreme_1b,Quaternary_Skewed_1b,0.19764041924101564
Binary_Extreme_1b,Quaternary_Skewed_2,0.03466964958737782
Binary_Extreme_1b,Quaternary_Extreme_1a,0.23134851441010768
Binary_Extreme_1b,Quaternary_Extreme_1b,0.23134851441010768
Binary_Extreme_1b,Quaternary_Extreme_2,0.014547164540611906
Binary_Extreme_1b,Continuous_Normal,0.0
Binary_Extreme_1b,Continuous_Skewed,0.0
Binary_Extreme_1b,Continuous_Binary_Normal_1,0.0
Binary_Extreme_1b,Continuous_Binary_Normal_2,0.0
Binary_Extreme_1b,Continuous_Trinary_Normal,0.0
Binary_Extreme_1b,Continuous_Quaternary_Normal,0.0
Binary_Extreme_1b,Continuous_Binary_Skewed,0.0
Binary_Extreme_1b,Continuous_Trinary_Skewed,0.0
Binary_Extreme_1b,Continuous_Quaternary_Skewed,0.0
Binary_Extreme_1b,Unary_1,0.0
